Day,Date,Time,Movie,Price,IMDB Rating
Saturday,5/29/2010,21:15,"Babies",9.25,6.7
Saturday,7/10/2010,21:25,"Despicable Me",8.25,7.5
Friday,7/16/2010,19:45,"Inception",15.00,8.8
Tuesday,7/20/2010,19:45,"Inception",10.00,8.8
Saturday,7/24/2010,17:55,"Salt",10.00,6.5
Saturday,7/31/2010,17:40,"Toy Story 3",10.00,8.6
Sunday,8/22/2010,19:50,"Scott Pilgrim vs. The World",10.00,7.6
Monday,8/23/2010,19:40,"Scott Pilgrim vs. The World",5.00,7.6
Saturday,10/16/2010,19:40,"The Social Network",9.25,8
Sunday,10/17/2010,16:55,"Never Let Me Go",10.00,7.2
Friday,11/19/2010,0:15,"Harry Potter and the Deathly Hallows Part 1",10.00,7.6
Monday,12/13/2010,21:40,"Tangled",8.25,7.8
Friday,12/17/2010,19:15,"Black Swan",10.00,8.2
Sunday,12/26/2010,16:10,"Tron: Legacy",14.50,6.9
Monday,1/17/2011,19:15,"The Green Hornet",8.25,6
Friday,2/18/2011,20:15,"I Am Number Four",10.00,6.1
Friday,3/18/2011,21:40,"Rango",10.00,7.4
Friday,4/22/2011,22:05,"Limitless",10.00,7.3
Sunday,4/24/2011,20:30,"Source Code",10.00,7.5
Sunday,5/29/2011,21:00,"Kung Fu Panda 2",10.50,7.4
Saturday,6/4/2011,20:05,"Midnight in Paris",10.50,7.8
Sunday,6/12/2011,19:20,"X-Men: First Class",4.50,7.9
Sunday,7/17/2011,19:40,"Harry Potter and the Deathly Hallows Part 2",11.50,8.1
Saturday,7/23/2011,15:30,"Harry Potter and the Deathly Hallows Part 2",11.50,8.1
Sunday,8/14/2011,12:30,"Crazy, Stupid, Love",6.25,7.5
Thursday,8/18/2011,17:30,"Rise of the Planet of the Apes",8.50,7.7
Saturday,8/27/2011,12:50,"Captain America",0.00,6.9
Friday,9/16/2011,17:00,"Drive",6.50,8
Saturday,10/15/2011,14:05,"50/50",6.50,8
Monday,10/31/2011,20:50,"In Time",5.00,6.5
Tuesday,12/20/2011,20:00,"New Year's Eve",4.66,5.2
Sunday,1/29/2012,14:10,"The Artist",6.50,8.4
Monday,3/26/2012,22:30,"The Hunger Games",7.50,7.6
Friday,4/13/2012,19:40,"Mirror Mirror",10.00,5.7
